FrameID	ID	Label	x	y	z	w	h
12	183	person	701	-1	1	43	70	
12	184	person	647	174	1	77	167	
12	185	person	697	-1	1	44	73	
12	186	person	643	180	1	78	162	
12	187	person	697	0	1	44	74	
12	188	person	643	180	1	75	167	
12	189	person	696	0	1	45	74	
12	190	person	639	182	1	77	168	
12	191	person	636	184	1	77	165	
12	192	person	-4.38247e+08	-5.21806e+08	1	-4.88512e+08	-4.04561e+08	
13	193	person	673	159	1	64	161	
13	194	person	708	-3	1	40	67	
13	195	person	673	159	1	64	161	
13	196	person	708	-3	1	40	67	
13	197	person	673	159	1	64	160	
13	198	person	708	-3	1	40	67	
13	199	person	671	160	1	67	159	
13	200	person	706	-2	1	41	66	
13	201	person	666	160	1	67	162	
13	202	person	705	-2	1	43	67	
13	203	person	659	161	1	72	171	
13	204	person	703	-1	1	41	67	
13	205	person	659	163	1	69	177	
13	206	person	700	-1	1	44	69	
13	207	person	656	166	1	72	174	
13	208	person	701	-1	1	43	70	
13	209	person	647	174	1	77	167	
13	210	person	697	-1	1	44	73	
13	211	person	643	180	1	78	162	
13	212	person	697	0	1	44	74	
13	213	person	643	180	1	75	167	
13	214	person	696	0	1	45	74	
13	215	person	639	182	1	77	168	
13	216	person	636	184	1	77	165	
13	217	person	634	185	1	75	167	
13	218	person	416	0	1	81	0	
14	219	person	673	159	1	64	161	
14	220	person	708	-3	1	40	67	
14	221	person	673	159	1	64	161	
14	222	person	708	-3	1	40	67	
14	223	person	673	159	1	64	160	
14	224	person	708	-3	1	40	67	
14	225	person	671	160	1	67	159	
14	226	person	706	-2	1	41	66	
14	227	person	666	160	1	67	162	
14	228	person	705	-2	1	43	67	
14	229	person	659	161	1	72	171	
14	230	person	703	-1	1	41	67	
14	231	person	659	163	1	69	177	
14	232	person	700	-1	1	44	69	
14	233	person	656	166	1	72	174	
14	234	person	701	-1	1	43	70	
14	235	person	647	174	1	77	167	
14	236	person	697	-1	1	44	73	
14	237	person	643	180	1	78	162	
14	238	person	697	0	1	44	74	
14	239	person	643	180	1	75	167	
14	240	person	696	0	1	45	74	
14	241	person	639	182	1	77	168	
14	242	person	636	184	1	77	165	
14	243	person	634	185	1	75	167	
14	244	person	632	184	1	75	168	
14	245	person	0	0	1	33	0	
15	246	person	673	159	1	64	161	
15	247	person	708	-3	1	40	67	
15	248	person	673	159	1	64	161	
15	249	person	708	-3	1	40	67	
15	250	person	673	159	1	64	160	
15	251	person	708	-3	1	40	67	
15	252	person	671	160	1	67	159	
15	253	person	706	-2	1	41	66	
15	254	person	666	160	1	67	162	
15	255	person	705	-2	1	43	67	
15	256	person	659	161	1	72	171	
15	257	person	703	-1	1	41	67	
15	258	person	659	163	1	69	177	
15	259	person	700	-1	1	44	69	
15	260	person	656	166	1	72	174	
15	261	person	701	-1	1	43	70	
15	262	person	647	174	1	77	167	
15	263	person	697	-1	1	44	73	
15	264	person	643	180	1	78	162	
15	265	person	697	0	1	44	74	
15	266	person	643	180	1	75	167	
15	267	person	696	0	1	45	74	
15	268	person	639	182	1	77	168	
15	269	person	636	184	1	77	165	
15	270	person	634	185	1	75	167	
15	271	person	632	184	1	75	168	
15	272	person	629	187	1	74	166	
15	273	person	-1.44561e+08	32565	1	-1.44561e+08	32565	
16	274	person	673	159	1	64	161	
16	275	person	708	-3	1	40	67	
16	276	person	673	159	1	64	161	
16	277	person	708	-3	1	40	67	
16	278	person	673	159	1	64	160	
16	279	person	708	-3	1	40	67	
16	280	person	671	160	1	67	159	
16	281	person	706	-2	1	41	66	
16	282	person	666	160	1	67	162	
16	283	person	705	-2	1	43	67	
16	284	person	659	161	1	72	171	
16	285	person	703	-1	1	41	67	
16	286	person	659	163	1	69	177	
16	287	person	700	-1	1	44	69	
16	288	person	656	166	1	72	174	
16	289	person	701	-1	1	43	70	
16	290	person	647	174	1	77	167	
16	291	person	697	-1	1	44	73	
16	292	person	643	180	1	78	162	
16	293	person	697	0	1	44	74	
16	294	person	643	180	1	75	167	
16	295	person	696	0	1	45	74	
16	296	person	639	182	1	77	168	
16	297	person	636	184	1	77	165	
16	298	person	634	185	1	75	167	
16	299	person	632	184	1	75	168	
16	300	person	629	187	1	74	166	
16	301	person	629	189	1	72	165	
16	302	person	464	0	1	33	0	
17	303	person	673	159	1	64	161	
17	304	person	708	-3	1	40	67	
17	305	person	673	159	1	64	161	
17	306	person	708	-3	1	40	67	
17	307	person	673	159	1	64	160	
17	308	person	708	-3	1	40	67	
17	309	person	671	160	1	67	159	
17	310	person	706	-2	1	41	66	
17	311	person	666	160	1	67	162	
17	312	person	705	-2	1	43	67	
17	313	person	659	161	1	72	171	
17	314	person	703	-1	1	41	67	
17	315	person	659	163	1	69	177	
17	316	person	700	-1	1	44	69	
17	317	person	656	166	1	72	174	
17	318	person	701	-1	1	43	70	
17	319	person	647	174	1	77	167	
17	320	person	697	-1	1	44	73	
17	321	person	643	180	1	78	162	
17	322	person	697	0	1	44	74	
17	323	person	643	180	1	75	167	
17	324	person	696	0	1	45	74	
17	325	person	639	182	1	77	168	
17	326	person	636	184	1	77	165	
17	327	person	634	185	1	75	167	
17	328	person	632	184	1	75	168	
17	329	person	629	187	1	74	166	
17	330	person	629	189	1	72	165	
17	331	person	626	193	1	72	173	
17	332	person	480	0	1	273	0	
18	333	person	673	159	1	64	161	
18	334	person	708	-3	1	40	67	
18	335	person	673	159	1	64	161	
18	336	person	708	-3	1	40	67	
18	337	person	673	159	1	64	160	
18	338	person	708	-3	1	40	67	
18	339	person	671	160	1	67	159	
18	340	person	706	-2	1	41	66	
18	341	person	666	160	1	67	162	
18	342	person	705	-2	1	43	67	
18	343	person	659	161	1	72	171	
18	344	person	703	-1	1	41	67	
18	345	person	659	163	1	69	177	
18	346	person	700	-1	1	44	69	
18	347	person	656	166	1	72	174	
18	348	person	701	-1	1	43	70	
18	349	person	647	174	1	77	167	
18	350	person	697	-1	1	44	73	
18	351	person	643	180	1	78	162	
18	352	person	697	0	1	44	74	
18	353	person	643	180	1	75	167	
18	354	person	696	0	1	45	74	
18	355	person	639	182	1	77	168	
18	356	person	636	184	1	77	165	
18	357	person	634	185	1	75	167	
18	358	person	632	184	1	75	168	
18	359	person	629	187	1	74	166	
18	360	person	629	189	1	72	165	
18	361	person	626	193	1	72	173	
18	362	person	621	195	1	72	172	
18	363	person	2.63504e+08	0	1	2.63504e+08	0	
19	364	person	673	159	1	64	161	
19	365	person	708	-3	1	40	67	
19	366	person	673	159	1	64	161	
19	367	person	708	-3	1	40	67	
19	368	person	673	159	1	64	160	
19	369	person	708	-3	1	40	67	
19	370	person	671	160	1	67	159	
19	371	person	706	-2	1	41	66	
19	372	person	666	160	1	67	162	
19	373	person	705	-2	1	43	67	
19	374	person	659	161	1	72	171	
19	375	person	703	-1	1	41	67	
19	376	person	659	163	1	69	177	
19	377	person	700	-1	1	44	69	
19	378	person	656	166	1	72	174	
19	379	person	701	-1	1	43	70	
19	380	person	647	174	1	77	167	
19	381	person	697	-1	1	44	73	
19	382	person	643	180	1	78	162	
19	383	person	697	0	1	44	74	
19	384	person	643	180	1	75	167	
19	385	person	696	0	1	45	74	
19	386	person	639	182	1	77	168	
19	387	person	636	184	1	77	165	
19	388	person	634	185	1	75	167	
19	389	person	632	184	1	75	168	
19	390	person	629	187	1	74	166	
19	391	person	629	189	1	72	165	
19	392	person	626	193	1	72	173	
19	393	person	621	195	1	72	172	
19	394	person	620	196	1	69	174	
19	395	person	512	0	1	401	0	
20	396	person	673	159	1	64	161	
20	397	person	708	-3	1	40	67	
20	398	person	673	159	1	64	161	
20	399	person	708	-3	1	40	67	
20	400	person	673	159	1	64	160	
20	401	person	708	-3	1	40	67	
20	402	person	671	160	1	67	159	
20	403	person	706	-2	1	41	66	
20	404	person	666	160	1	67	162	
20	405	person	705	-2	1	43	67	
20	406	person	659	161	1	72	171	
20	407	person	703	-1	1	41	67	
20	408	person	659	163	1	69	177	
20	409	person	700	-1	1	44	69	
20	410	person	656	166	1	72	174	
20	411	person	701	-1	1	43	70	
20	412	person	647	174	1	77	167	
20	413	person	697	-1	1	44	73	
20	414	person	643	180	1	78	162	
20	415	person	697	0	1	44	74	
20	416	person	643	180	1	75	167	
20	417	person	696	0	1	45	74	
20	418	person	639	182	1	77	168	
20	419	person	636	184	1	77	165	
20	420	person	634	185	1	75	167	
20	421	person	632	184	1	75	168	
20	422	person	629	187	1	74	166	
20	423	person	629	189	1	72	165	
20	424	person	626	193	1	72	173	
20	425	person	621	195	1	72	172	
20	426	person	620	196	1	69	174	
20	427	person	618	198	1	67	178	
20	428	person	1.21203e+09	2.12389e+08	1	433	0	
21	429	person	673	159	1	64	161	
21	430	person	708	-3	1	40	67	
21	431	person	673	159	1	64	161	
21	432	person	708	-3	1	40	67	
21	433	person	673	159	1	64	160	
21	434	person	708	-3	1	40	67	
21	435	person	671	160	1	67	159	
21	436	person	706	-2	1	41	66	
21	437	person	666	160	1	67	162	
21	438	person	705	-2	1	43	67	
21	439	person	659	161	1	72	171	
21	440	person	703	-1	1	41	67	
21	441	person	659	163	1	69	177	
21	442	person	700	-1	1	44	69	
21	443	person	656	166	1	72	174	
21	444	person	701	-1	1	43	70	
21	445	person	647	174	1	77	167	
21	446	person	697	-1	1	44	73	
21	447	person	643	180	1	78	162	
21	448	person	697	0	1	44	74	
21	449	person	643	180	1	75	167	
21	450	person	696	0	1	45	74	
21	451	person	639	182	1	77	168	
21	452	person	636	184	1	77	165	
21	453	person	634	185	1	75	167	
21	454	person	632	184	1	75	168	
21	455	person	629	187	1	74	166	
21	456	person	629	189	1	72	165	
21	457	person	626	193	1	72	173	
21	458	person	621	195	1	72	172	
21	459	person	620	196	1	69	174	
21	460	person	618	198	1	67	178	
21	461	person	614	205	1	68	181	
21	462	person	-1.44561e+08	32565	1	417	0	
22	463	person	673	159	1	64	161	
22	464	person	708	-3	1	40	67	
22	465	person	673	159	1	64	161	
22	466	person	708	-3	1	40	67	
22	467	person	673	159	1	64	160	
22	468	person	708	-3	1	40	67	
22	469	person	671	160	1	67	159	
22	470	person	706	-2	1	41	66	
22	471	person	666	160	1	67	162	
22	472	person	705	-2	1	43	67	
22	473	person	659	161	1	72	171	
22	474	person	703	-1	1	41	67	
22	475	person	659	163	1	69	177	
22	476	person	700	-1	1	44	69	
22	477	person	656	166	1	72	174	
22	478	person	701	-1	1	43	70	
22	479	person	647	174	1	77	167	
22	480	person	697	-1	1	44	73	
22	481	person	643	180	1	78	162	
22	482	person	697	0	1	44	74	
22	483	person	643	180	1	75	167	
22	484	person	696	0	1	45	74	
22	485	person	639	182	1	77	168	
22	486	person	636	184	1	77	165	
22	487	person	634	185	1	75	167	
22	488	person	632	184	1	75	168	
22	489	person	629	187	1	74	166	
22	490	person	629	189	1	72	165	
22	491	person	626	193	1	72	173	
22	492	person	621	195	1	72	172	
22	493	person	620	196	1	69	174	
22	494	person	618	198	1	67	178	
22	495	person	614	205	1	68	181	
22	496	person	611	207	1	70	174	
22	497	person	-1.44561e+08	32565	1	401	0	
23	498	person	673	159	1	64	161	
23	499	person	708	-3	1	40	67	
23	500	person	673	159	1	64	161	
23	501	person	708	-3	1	40	67	
23	502	person	673	159	1	64	160	
23	503	person	708	-3	1	40	67	
23	504	person	671	160	1	67	159	
23	505	person	706	-2	1	41	66	
23	506	person	666	160	1	67	162	
23	507	person	705	-2	1	43	67	
23	508	person	659	161	1	72	171	
23	509	person	703	-1	1	41	67	
23	510	person	659	163	1	69	177	
23	511	person	700	-1	1	44	69	
23	512	person	656	166	1	72	174	
23	513	person	701	-1	1	43	70	
23	514	person	647	174	1	77	167	
23	515	person	697	-1	1	44	73	
23	516	person	643	180	1	78	162	
23	517	person	697	0	1	44	74	
23	518	person	643	180	1	75	167	
23	519	person	696	0	1	45	74	
23	520	person	639	182	1	77	168	
23	521	person	636	184	1	77	165	
23	522	person	634	185	1	75	167	
23	523	person	632	184	1	75	168	
23	524	person	629	187	1	74	166	
23	525	person	629	189	1	72	165	
23	526	person	626	193	1	72	173	
23	527	person	621	195	1	72	172	
23	528	person	620	196	1	69	174	
23	529	person	618	198	1	67	178	
23	530	person	614	205	1	68	181	
23	531	person	611	207	1	70	174	
23	532	person	608	209	1	72	174	
23	533	person	-1.44561e+08	32565	1	385	0	
24	534	person	673	159	1	64	161	
24	535	person	708	-3	1	40	67	
24	536	person	673	159	1	64	161	
24	537	person	708	-3	1	40	67	
24	538	person	673	159	1	64	160	
24	539	person	708	-3	1	40	67	
24	540	person	671	160	1	67	159	
24	541	person	706	-2	1	41	66	
24	542	person	666	160	1	67	162	
24	543	person	705	-2	1	43	67	
24	544	person	659	161	1	72	171	
24	545	person	703	-1	1	41	67	
24	546	person	659	163	1	69	177	
24	547	person	700	-1	1	44	69	
24	548	person	656	166	1	72	174	
24	549	person	701	-1	1	43	70	
24	550	person	647	174	1	77	167	
24	551	person	697	-1	1	44	73	
24	552	person	643	180	1	78	162	
24	553	person	697	0	1	44	74	
24	554	person	643	180	1	75	167	
24	555	person	696	0	1	45	74	
24	556	person	639	182	1	77	168	
24	557	person	636	184	1	77	165	
24	558	person	634	185	1	75	167	
24	559	person	632	184	1	75	168	
24	560	person	629	187	1	74	166	
24	561	person	629	189	1	72	165	
24	562	person	626	193	1	72	173	
24	563	person	621	195	1	72	172	
24	564	person	620	196	1	69	174	
24	565	person	618	198	1	67	178	
24	566	person	614	205	1	68	181	
24	567	person	611	207	1	70	174	
24	568	person	608	209	1	72	174	
24	569	person	608	210	1	71	171	
24	570	person	3.01334e+08	0	1	369	0	
25	571	person	673	159	1	64	161	
25	572	person	708	-3	1	40	67	
25	573	person	673	159	1	64	161	
25	574	person	708	-3	1	40	67	
25	575	person	673	159	1	64	160	
25	576	person	708	-3	1	40	67	
25	577	person	671	160	1	67	159	
25	578	person	706	-2	1	41	66	
25	579	person	666	160	1	67	162	
25	580	person	705	-2	1	43	67	
25	581	person	659	161	1	72	171	
25	582	person	703	-1	1	41	67	
25	583	person	659	163	1	69	177	
25	584	person	700	-1	1	44	69	
25	585	person	656	166	1	72	174	
25	586	person	701	-1	1	43	70	
25	587	person	647	174	1	77	167	
25	588	person	697	-1	1	44	73	
25	589	person	643	180	1	78	162	
25	590	person	697	0	1	44	74	
25	591	person	643	180	1	75	167	
25	592	person	696	0	1	45	74	
25	593	person	639	182	1	77	168	
25	594	person	636	184	1	77	165	
25	595	person	634	185	1	75	167	
25	596	person	632	184	1	75	168	
25	597	person	629	187	1	74	166	
25	598	person	629	189	1	72	165	
25	599	person	626	193	1	72	173	
25	600	person	621	195	1	72	172	
25	601	person	620	196	1	69	174	
25	602	person	618	198	1	67	178	
25	603	person	614	205	1	68	181	
25	604	person	611	207	1	70	174	
25	605	person	608	209	1	72	174	
25	606	person	608	210	1	71	171	
25	607	person	599	220	1	73	154	
25	608	person	-1.39601e+09	3.81293e+08	1	209	0	
26	609	person	673	159	1	64	161	
26	610	person	708	-3	1	40	67	
26	611	person	673	159	1	64	161	
26	612	person	708	-3	1	40	67	
26	613	person	673	159	1	64	160	
26	614	person	708	-3	1	40	67	
26	615	person	671	160	1	67	159	
26	616	person	706	-2	1	41	66	
26	617	person	666	160	1	67	162	
26	618	person	705	-2	1	43	67	
26	619	person	659	161	1	72	171	
26	620	person	703	-1	1	41	67	
26	621	person	659	163	1	69	177	
26	622	person	700	-1	1	44	69	
26	623	person	656	166	1	72	174	
26	624	person	701	-1	1	43	70	
26	625	person	647	174	1	77	167	
26	626	person	697	-1	1	44	73	
26	627	person	643	180	1	78	162	
26	628	person	697	0	1	44	74	
26	629	person	643	180	1	75	167	
26	630	person	696	0	1	45	74	
26	631	person	639	182	1	77	168	
26	632	person	636	184	1	77	165	
26	633	person	634	185	1	75	167	
26	634	person	632	184	1	75	168	
26	635	person	629	187	1	74	166	
26	636	person	629	189	1	72	165	
26	637	person	626	193	1	72	173	
26	638	person	621	195	1	72	172	
26	639	person	620	196	1	69	174	
26	640	person	618	198	1	67	178	
26	641	person	614	205	1	68	181	
26	642	person	611	207	1	70	174	
26	643	person	608	209	1	72	174	
26	644	person	608	210	1	71	171	
26	645	person	599	220	1	73	154	
